Substance,Likely Source,Range,Average Level,Highest Level,MCL,MCLG,Unit,Meets EPA Standards
"1,2-Dichloroethane",Discharge from chemical factories,ND – 1.3,ND,1.3,5,0,ppb,U
Asbestos,Erosion of natural deposits,ND – 0.19,ND,0.19,7,7,MFL,U
Barium,Erosion of natural deposits,0.25 – 0.34,ND,0.34,2,2,ppm,U
Di(2-Ethylhexyl)phthalate,Discharge from chemical/rubber factories,ND – 3,ND,3,6,0,ppb,U
Dichloromethane,Discharge from chemical factories,ND – 1.5,ND,1.5,5,0,ppb,U
Fluoride,Added for the prevention of tooth decay,0.11 – 1.28,0.95,1.28,4,4,ppm,U
Gross Alpha Activity,Erosion of natural deposits,0.5 – 0.8,0.7,0.8,15,0,pCi/l,U
Gross Beta Activity,Erosion of natural deposits,2.5 – 2.6,2.6,2.6,50,0,pCi/l,U
Hexachlorocyclopentadiene,Discharge from chemical factories,ND – 0.05,ND,0.05,50,50,ppb,U
Nitrate as Nitrogen,"Erosion of natural deposits, runoff",0.09 – 0.30,0.19,0.3,10,10,ppm,U
Total Trihalomethanes (TTHMs),By-product of drinking water chlorination,34 – 118,59,86*,100,0,ppb,U
Xylenes,Discharge from chemical factories,ND – 0.0009,ND,0.9,10,10,ppm,U